Title,Release date,Year,Month,Season,runTime,Genre,MPAA_Rating,is_original,is_franchise,averageRating,numVotes,performance,Original,Franchise
A Tourist's Guide to Love,4/21/2023,2023,4,Spring,96,Romantic comedy,PG,0,0,5.8,8374,Streaming-flop,Non-Original,Non-Francise
Chokehold,4/21/2023,2023,4,Spring,112,Thriller,Not Rated,0,0,5.7,5122,Streaming-flop,Non-Original,Non-Francise
One More Time,4/21/2023,2023,4,Spring,85,Comedy,R,0,0,5.8,2863,Streaming-flop,Non-Original,Non-Francise
The Matchmaker,4/27/2023,2023,4,Spring,81,Psychological thriller,Not Rated,0,0,3.7,654,Streaming-flop,Non-Original,Non-Francise
AKA,4/28/2023,2023,4,Spring,124,Action thriller,Not Rated,0,0,6.6,14790,Streaming-hit,Non-Original,Non-Francise
Royalteen: Princess Margrethe,5/11/2023,2023,5,Spring,98,Coming-of-age,R,0,1,4.7,1089,Streaming-flop,Non-Original,Francise
The Mother,5/12/2023,2023,5,Spring,117,Action drama,R,0,0,5.6,52474,Streaming-hit,Non-Original,Non-Francise
Fanfic,5/17/2023,2023,5,Spring,95,Drama,NC-17,0,0,5.8,1599,Streaming-flop,Non-Original,Non-Francise
Hard Feelings,5/24/2023,2023,5,Spring,103,Comedy,R,0,0,4.8,3509,Streaming-flop,Non-Original,Non-Francise
Mother's Day,5/24/2023,2023,5,Spring,94,Action,R,0,0,5.3,2945,Streaming-hit,Non-Original,Non-Francise
Where the Tracks End,5/26/2023,2023,5,Spring,95,Family film,PG-13,0,0,7.1,1921,Streaming-flop,Non-Original,Non-Francise
A Beautiful Life,6/1/2023,2023,6,Summer,99,Drama,R,0,0,6.4,9380,Streaming-hit,Non-Original,Non-Francise
Missed Connections,6/2/2023,2023,6,Summer,107,Romantic comedy,Not Rated,0,0,4.4,299,Streaming-flop,Non-Original,Non-Francise
Rich in Love 2,6/2/2023,2023,6,Summer,89,Romantic comedy,Not Rated,0,0,4.9,596,Streaming-flop,Non-Original,Non-Francise
You Do You,6/9/2023,2023,6,Summer,99,Romantic comedy,PG-13,0,0,5,2831,Streaming-hit,Non-Original,Non-Francise
Black Clover: Sword of the Wizard King,6/16/2023,2023,6,Summer,113,Anime,PG-13,0,0,7.4,9651,Streaming-flop,Non-Original,Non-Francise
iNumber Number: Jozi Gold,6/23/2023,2023,6,Summer,113,Thriller,Not Rated,0,0,4.4,546,Streaming-flop,Non-Original,Non-Francise
Make Me Believe,6/23/2023,2023,6,Summer,104,Romantic comedy,R,0,0,5.7,4073,Streaming-hit,Non-Original,Non-Francise
The Perfect Find,6/23/2023,2023,6,Summer,99,Romantic comedy,R,0,0,5.2,3819,Streaming-flop,Non-Original,Non-Francise
Lust Stories 2,6/29/2023,2023,6,Summer,132,Anthology film,R,0,1,5.7,52034,Streaming-flop,Non-Original,Francise
Nimona,6/30/2023,2023,6,Summer,102,CGI animation science fiction,PG,1,0,7.5,61297,Streaming-hit,Original,Non-Francise
Gold Brick,7/6/2023,2023,7,Summer,95,Comedy,R,0,0,6.2,3852,Streaming-hit,Non-Original,Non-Francise
Seasons,7/7/2023,2023,7,Summer,109,Romance,R,0,0,5.1,425,Streaming-flop,Non-Original,Non-Francise
The Out-Laws,7/7/2023,2023,7,Summer,95,Action comedy,R,0,0,5.4,41283,Streaming-hit,Non-Original,Non-Francise
Mr. Car and the Knights Templar,7/12/2023,2023,7,Summer,110,Drama,PG-13,0,0,4.4,1531,Streaming-flop,Non-Original,Non-Francise
Love Tactics 2,7/14/2023,2023,7,Summer,98,Romantic comedy,PG-13,0,0,5,2990,Streaming-flop,Non-Original,Non-Francise
